chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Race/eth: Hispanic,,,,,,569,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Race/eth: Non-hispanic black,,,,,,720,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Race/eth: Non-hispanic white,,,,,,913,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Race/eth: Other,,,,,,479,2011-2012,0.998881014546811
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Gender: female,43.1591440144751,42.5,85.4,196,432,1516,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Gender: male,59.0414107089901,60.9,113,286,594,1499,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Income: Missing,53.8320510961248,51.5,97.9,262,425,311,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Income: PIR above 2,53.4071108206837,55.2,105,293,636,1433,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Income: PIR below 2,48.153545198309,47.9,90.5,211,400,1271,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Hispanic,48.551075358107,50.1,90.5,228,471,970,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Non-hispanic black,73.0828529134508,73.3,139,356,802,656,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Non-hispanic white,49.0433221106025,47.4,93.2,220,395,912,2015-2016,0.00099502487562189
Acrylamide metabolite: N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Other,41.8104848939225,36.6,86.4,233,795,477,2015-2016,0.00099502487562189
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Gender: female,26.9757922769575,21.4,50.4,433,15700,1201,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Gender: male,28.5508828776106,25.2,55.4,340,5580,1174,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Income: Missing,25.3725189820313,17.2,49,248,229000,165,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Income: PIR above 2,29.0508152749611,24.8,56.5,386,6700,1149,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Income: PIR below 2,27.1715647265349,21.9,50.7,395,11000,1061,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Race/eth: Hispanic,34.9003994872129,23.2,51.3,288,6410,640,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Race/eth: Non-hispanic black,21.0711904227352,31.5,63.1,340,20100,502,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Race/eth: Non-hispanic white,26.5622933971145,22.1,54.8,448,11400,871,2013-2014,0.357894736842105
"2,6-Dimethylaniline, urine (pg/mL)",87-62-7,Race/eth: Other,27.9583509821739,18.2,36.9,260,6070,362,2013-2014,0.357894736842105
Pentachlorophenol (ug/L),87-86-5,Gender: female,,,0.88,3.2,6.68,1207,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Gender: male,,,1.32,4.58,16.02,1147,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Income: Missing,,,1.08,5.59,9.71,118,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Income: PIR above 2,,,1.33,3.41,6.96,1137,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Income: PIR below 2,,,1.02,3.69,11.32,1099,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Race/eth: Hispanic,,,0.9,2.92,4.58,630,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Race/eth: Non-hispanic black,,,1.46,4.06,6.96,593,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Race/eth: Non-hispanic white,,,1.18,3.69,11.48,1024,2003-2004,0.659728122344945
Pentachlorophenol (ug/L),87-86-5,Race/eth: Other,,,,2.79,6.13,107,2003-2004,0.659728122344945
"2,4,6-trichlorophenol (ug/L)",88-06-2,Gender: female,,,0.5,1.1,3.3,1350,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Gender: male,,,,1.1,2.9,1399,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Income: Missing,,,0.6,1.2,2.2,258,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Income: PIR above 2,,,0.6,1.3,3.3,1371,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Income: PIR below 2,,,,1,3.9,1120,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Race/eth: Hispanic,,,0.5,1.3,2.5,859,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Race/eth: Non-hispanic black,,,0.7,1.5,3.3,516,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Race/eth: Non-hispanic white,,,,1,4.8,1206,2009-2010,0.720261913423063
"2,4,6-trichlorophenol (ug/L)",88-06-2,Race/eth: Other,,,,1,1.6,168,2009-2010,0.720261913423063
"o-Anisidine, urine (pg/mL)",90-04-0,Gender: female,42.9633165058717,43,83.1,204,427,1159,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Gender: male,54.0894362551113,52.1,93.7,231,912,1173,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Income: Missing,42.3873914358869,45.4,83.2,161,231,159,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Income: PIR above 2,47.3889001644621,48.9,88.1,200,481,1133,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Income: PIR below 2,49.3682387392616,47.9,88.1,233,568,1040,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Race/eth: Hispanic,48.5672106743093,42.5,76.9,189,481,609,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Race/eth: Non-hispanic black,39.819293201812,49.9,86.2,178,312,504,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Race/eth: Non-hispanic white,42.3457167533458,49.9,92.9,233,608,862,2013-2014,0.0214408233276158
"o-Anisidine, urine (pg/mL)",90-04-0,Race/eth: Other,51.0657228703851,38.7,72.2,186,343,357,2013-2014,0.0214408233276158
O-Phenylphenol (ug/L),90-43-7,Gender: female,,,,0.5,1.4,1350,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Gender: male,,,,0.5,1.4,1399,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Income: Missing,,,,0.7,1.6,258,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Income: PIR above 2,,,,0.5,1.1,1371,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Income: PIR below 2,,,,0.5,1.7,1120,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Race/eth: Hispanic,,,,0.5,1.3,859,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Race/eth: Non-hispanic black,,,0.2,0.7,1.2,516,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Race/eth: Non-hispanic white,,,,0.5,1.7,1206,2009-2010,0.770825754819935
O-Phenylphenol (ug/L),90-43-7,Race/eth: Other,,,,0.3,1.1,168,2009-2010,0.770825754819935
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Gender: female,109.085971409653,114,206,453,877,1516,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Gender: male,137.821936434509,148,245,467,923,1492,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Income: Missing,129.640046758734,128,244,692,1000,310,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Income: PIR above 2,129.988421946778,136,236,568,1270,1430,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Income: PIR below 2,117.074872443661,130,217,392,620,1268,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Race/eth: Hispanic,118.481135805159,136,217,448,722,968,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Race/eth: Non-hispanic black,164.91782305275,168,281,622,1540,655,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Race/eth: Non-hispanic white,121.551686934187,127,221,426,877,909,2015-2016,0.0123005319148936
Styrene metabolite: Mandelic acid (ng/mL),100-42-5,Race/eth: Other,104.52332579676,108,206,407,861,476,2015-2016,0.0123005319148936
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Gender: female,4.49130586859168,4.35,8.2,31.8,83,1245,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Gender: male,5.29090771398398,5.29,9.81,35.7,80.3,1243,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Income: Missing,3.92970438998971,3.73,7.96,28.3,98.9,177,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Income: PIR above 2,5.99823455433146,6.01,11.6,41.3,116,1209,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Income: PIR below 2,4.35325601588181,4.25,8.01,28,76.7,1102,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Race/eth: Hispanic,8.17535316765802,4.15,7.34,18.6,34.8,669,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Race/eth: Non-hispanic black,4.00602505877246,7.9,16,48.3,121,532,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Race/eth: Non-hispanic white,4.08683994010163,4.63,8.75,35.6,86.9,913,2013-2014,0.255225080385852
"2-Aminonaphthalene, urine (pg/mL)",91-59-8,Race/eth: Other,4.7651791171799,3.91,6.87,25,51,374,2013-2014,0.255225080385852
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Gender: female,5.08586237486752,5.47,10.6,46.6,123,1247,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Gender: male,5.51375425436044,6.11,10.6,42.1,88.3,1245,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Income: Missing,4.72496660477356,5.52,8.44,35.2,88.3,177,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Income: PIR above 2,6.38396529609001,6.59,13.6,55.7,134,1208,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Income: PIR below 2,4.74616415647299,5.4,9.84,37,68.3,1107,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Race/eth: Hispanic,7.6690512810439,5.47,8.75,27.1,45.8,660,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Race/eth: Non-hispanic black,4.43009810540764,7.86,17.2,59.5,101,538,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Race/eth: Non-hispanic white,4.4490943507656,5.76,10.6,48.1,96.8,914,2013-2014,0.218298555377207
"4-Aminobiphenyl, urine (pg/mL)",92-67-1,Race/eth: Other,5.30262701142683,5,8.94,34.5,65.9,380,2013-2014,0.218298555377207
N-Nitrosopyrrolidine (ng/L),930-55-2,Gender: female,,,,,,1293,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Gender: male,,,,,,1290,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Income: Missing,,,,,,181,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Income: PIR above 2,,,,,,1253,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Income: PIR below 2,,,,,,1149,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Race/eth: Hispanic,,,,,,688,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Race/eth: Non-hispanic black,,,,,,558,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Race/eth: Non-hispanic white,,,,,,948,2013-2014,0.995354239256678
N-Nitrosopyrrolidine (ng/L),930-55-2,Race/eth: Other,,,,,,389,2013-2014,0.995354239256678
"2,4-D (ug/L)",94-75-7,Gender: female,0.251215902087917,0.257,0.462,1.26,2.79,1326,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Gender: male,0.31958970706832,0.332,0.577,1.56,4.84,1345,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Income: Missing,0.278159986445864,0.26,0.501,1.66,3.64,191,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Income: PIR above 2,0.28902686093757,0.3,0.521,1.44,2.94,1199,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Income: PIR below 2,0.2736389733928,0.273,0.495,1.41,5.82,1281,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Race/eth: Hispanic,0.283452119312353,0.25,0.424,1.32,4.84,671,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Race/eth: Non-hispanic black,0.25142683532255,0.294,0.539,1.2,2.58,590,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Race/eth: Non-hispanic white,0.295436510338529,0.307,0.526,1.5,4.13,1017,2013-2014,0.246724073380756
"2,4-D (ug/L)",94-75-7,Race/eth: Other,0.254740779597731,0.268,0.491,1.3,2.79,393,2013-2014,0.246724073380756
"o-Toluidine, urine (pg/mL)",95-53-4,Gender: female,279.299663876014,296,570,1650,4170,1219,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Gender: male,330.050844488862,346,649,1840,4760,1193,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Income: Missing,278.012821870417,282,608,2180,4950,170,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Income: PIR above 2,340.347624031095,374,667,1920,4330,1173,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Income: PIR below 2,283.843047244801,296,568,1410,4170,1069,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Race/eth: Hispanic,464.475916654066,315,566,1560,4390,651,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Race/eth: Non-hispanic black,258.040815882421,489,873,2130,4700,516,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Race/eth: Non-hispanic white,296.990695324678,299,580,1670,4290,884,2013-2014,0.145936981757877
"o-Toluidine, urine (pg/mL)",95-53-4,Race/eth: Other,287.817687526888,273,547,1650,4370,361,2013-2014,0.145936981757877
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Gender: female,,,,,,1718,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Gender: male,,,,,,1673,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Income: Missing,,,,,,301,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Income: PIR above 2,,,,,,1469,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Income: PIR below 2,,,,,,1621,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Race/eth: Hispanic,,,,,,1042,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Race/eth: Non-hispanic black,,,,,,602,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Race/eth: Non-hispanic white,,,,,,1536,2009-2010,1
"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",96-12-8,Race/eth: Other,,,,,,211,2009-2010,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Gender: female,,,,,,1473,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Gender: male,,,,,,1393,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Income: Missing,,,,,,1197,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Income: PIR above 2,,,,,,378,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Income: PIR below 2,,,,,,1291,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Race/eth: Hispanic,,,,,,682,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Race/eth: Non-hispanic black,,,,,,637,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Race/eth: Non-hispanic white,,,,,,977,2017-2018,1
"Blood 1,2,3-trichloropropane (ng/ml)",96-18-4,Race/eth: Other,,,,,,570,2017-2018,1
Ethylenethio urea (ug/L),96-45-7,Gender: female,,,,0.41,1.67,1282,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Gender: male,,,,0.43,1.2,1289,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Income: Missing,,,,0.44,5.07,248,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Income: PIR above 2,,,,0.34,1.28,1104,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Income: PIR below 2,,,,0.6,1.56,1219,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Race/eth: Hispanic,,,,0.49,2.14,790,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Race/eth: Non-hispanic black,,,,0.63,5.07,570,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Race/eth: Non-hispanic white,,,,0.3,1.12,1084,2007-2008,0.925320886814469
Ethylenethio urea (ug/L),96-45-7,Race/eth: Other,,,,1.19,1.88,127,2007-2008,0.925320886814469
Blood isopropylbenzene (ng/mL),98-82-8,Gender: female,,,,,,1443,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Gender: male,,,,,,1357,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Income: Missing,,,,,,1180,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Income: PIR above 2,,,,,,370,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Income: PIR below 2,,,,,,1250,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Race/eth: Hispanic,,,,,,681,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Race/eth: Non-hispanic black,,,,,,617,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Race/eth: Non-hispanic white,,,,,,955,2017-2018,0.997142857142857
Blood isopropylbenzene (ng/mL),98-82-8,Race/eth: Other,,,,,,547,2017-2018,0.997142857142857
Blood Nitrobenzene (ng/mL),98-95-3,Gender: female,,,,,,1466,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Gender: male,,,,,,1380,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Income: Missing,,,,,,1189,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Income: PIR above 2,,,,,,376,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Income: PIR below 2,,,,,,1281,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Race/eth: Hispanic,,,,,,678,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Race/eth: Non-hispanic black,,,,,,630,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Race/eth: Non-hispanic white,,,,,,971,2017-2018,1
Blood Nitrobenzene (ng/mL),98-95-3,Race/eth: Other,,,,,,567,2017-2018,1
